state_code,state_name,probable_2025,confirmed_2025,incidence_2025,deaths_2025,cfr_2025,probable_2026,confirmed_2026,incidence_2026,deaths_2026,cfr_2026,total_confirmed
8,Chihuahua,6239,4486,113.0,21,0.47,0,0,0.0,0,,4486
14,Jalisco,1846,637,7.25,1,0.16,11,0,0.0,0,,637
12,Guerrero,429,243,6.56,0,,0,0,0.0,0,,243
16,Michoacán,617,242,4.86,0,,0,0,0.0,0,,242
7,Chiapas,557,235,3.83,0,,19,0,0.0,0,,235
26,Sonora,333,113,3.48,1,0.88,0,0,0.0,0,,113
25,Sinaloa,226,90,2.75,0,,2,0,0.0,0,,90
5,Coahuila,305,55,1.61,0,,0,0,0.0,0,,55
9,Ciudad de México,979,43,0.48,0,,1,0,0.0,0,,43
10,Durango,295,40,2.06,1,2.5,0,0,0.0,0,,40
6,Colima,88,32,3.79,0,,0,0,0.0,0,,32
17,Morelos,254,25,1.17,0,,0,0,0.0,0,,25
32,Zacatecas,163,22,1.28,0,,0,0,0.0,0,,22
2,Baja California,257,17,0.44,0,,1,0,0.0,0,,17
4,Campeche,99,14,1.3,0,,0,0,0.0,0,,14
28,Tamaulipas,130,12,0.32,0,,0,0,0.0,0,,12
15,México,614,12,0.07,0,,0,0,0.0,0,,12
22,Querétaro,164,12,0.49,0,,0,0,0.0,0,,12
3,Baja California Sur,68,8,0.91,0,,0,0,0.0,0,,8
24,San Luis Potosí,147,7,0.24,0,,0,0,0.0,0,,7
20,Oaxaca,91,6,0.14,0,,0,0,0.0,0,,6
18,Nayarit,100,6,0.44,0,,0,0,0.0,0,,6
27,Tabasco,91,4,0.15,0,,0,0,0.0,0,,4
11,Guanajuato,543,4,0.06,0,,0,0,0.0,0,,4
23,Quintana Roo,76,2,0.1,0,,0,0,0.0,0,,2
1,Aguascalientes,150,2,0.13,0,,0,0,0.0,0,,2
19,Nuevo León,297,2,0.03,0,,0,0,0.0,0,,2
31,Yucatán,67,2,0.08,0,,0,0,0.0,0,,2
13,Hidalgo,118,1,0.03,0,,0,0,0.0,0,,1
