state_code,state_name,probable_2025,confirmed_2025,incidence_2025,deaths_2025,cfr_2025,probable_2026,confirmed_2026,incidence_2026,deaths_2026,cfr_2026,total_confirmed
14,Jalisco,1832,665,7.57,2,0.30,8750,5418,60.32,3,0.06,6083
8,Chihuahua,6239,4496,113.38,21,0.47,304,72,1.65,0,,4568
7,Chiapas,540,249,4.06,1,0.40,2147,754,12.19,0,,1003
9,Ciudad de México,979,48,0.54,1,2.08,2044,766,8.36,1,0.13,814
16,Michoacán,617,246,4.94,0,,537,167,3.28,1,0.60,413
12,Guerrero,429,261,7.04,0,,246,102,2.83,1,0.98,363
25,Sinaloa,224,90,2.75,0,,503,269,8.39,1,0.37,359
26,Sonora,332,113,3.48,1,0.88,613,269,8.49,0,,382
15,México,610,12,0.07,0,,1046,296,1.66,0,,308
10,Durango,294,58,2.98,1,1.72,505,213,10.98,1,0.47,271
21,Puebla,123,0,0.00,0,,480,218,3.05,0,,218
23,Quintana Roo,76,2,0.10,0,,374,182,8.50,0,,184
6,Colima,82,32,3.79,0,,271,93,12.05,0,,125
27,Tabasco,91,4,0.15,0,,457,91,3.68,0,,95
5,Coahuila,301,55,1.61,0,,206,38,1.10,0,,93
19,Nuevo León,297,2,0.03,0,,868,56,0.86,0,,58
22,Querétaro,163,12,0.49,0,,257,44,1.63,0,,56
18,Nayarit,100,7,0.51,0,,192,47,3.51,0,,54
17,Morelos,252,26,1.21,0,,217,26,1.26,0,,52
30,Veracruz,261,0,0.00,0,,460,51,0.63,0,,51
2,Baja California,252,21,0.54,0,,455,30,0.72,0,,51
29,Tlaxcala,43,0,0.00,0,,163,49,3.35,1,2.04,49
20,Oaxaca,91,6,0.14,0,,127,36,0.82,0,,42
31,Yucatán,67,3,0.13,0,,180,34,1.34,0,,37
32,Zacatecas,163,22,1.28,0,,83,3,0.17,0,,25
3,Baja California Sur,68,8,0.91,0,,88,14,1.52,0,,22
13,Hidalgo,118,1,0.03,0,,193,19,0.57,0,,20
1,Aguascalientes,150,2,0.13,0,,255,18,1.15,0,,20
4,Campeche,99,15,1.39,0,,39,4,0.42,0,,19
24,San Luis Potosí,147,7,0.24,0,,104,11,0.37,0,,18
11,Guanajuato,542,5,0.08,0,,304,8,0.12,0,,13
28,Tamaulipas,130,12,0.32,0,,99,0,0.00,0,,12
