state_code,state_name,probable_2025,confirmed_2025,incidence_2025,deaths_2025,cfr_2025,probable_2026,confirmed_2026,incidence_2026,deaths_2026,cfr_2026,total_confirmed
14,Jalisco,1832,665,7.57,2,0.30,8173,4952,55.13,3,0.06,5617
8,Chihuahua,6239,4496,113.38,21,0.47,240,56,1.28,0,,4552
7,Chiapas,540,248,4.04,1,0.40,2038,713,11.53,0,,961
9,Ciudad de México,979,48,0.54,1,2.08,1862,676,7.38,1,0.15,724
16,Michoacán,617,246,4.94,0,,511,156,3.07,1,0.64,402
12,Guerrero,429,261,7.04,0,,226,96,2.66,1,1.04,357
25,Sinaloa,224,89,2.72,0,,487,264,8.23,1,0.38,353
26,Sonora,332,113,3.48,1,0.88,530,219,6.91,0,,332
15,México,610,12,0.07,0,,980,271,1.52,0,,283
10,Durango,295,41,2.11,1,2.44,463,189,9.74,1,0.53,230
21,Puebla,123,0,0.00,0,,461,210,2.94,0,,210
23,Quintana Roo,76,2,0.10,0,,318,139,6.49,0,,141
6,Colima,85,32,3.79,0,,260,89,11.54,0,,121
27,Tabasco,91,4,0.15,0,,441,88,3.56,0,,92
5,Coahuila,302,55,1.61,0,,162,17,0.49,0,,72
22,Querétaro,163,12,0.49,0,,243,40,1.48,0,,52
19,Nuevo León,297,2,0.03,0,,827,49,0.75,0,,51
2,Baja California,252,21,0.54,0,,437,28,0.67,0,,49
17,Morelos,252,26,1.21,0,,201,23,1.11,0,,49
18,Nayarit,100,7,0.51,0,,179,41,3.06,0,,48
30,Veracruz,261,0,0.00,0,,446,47,0.58,0,,47
29,Tlaxcala,43,0,0.00,0,,154,45,3.07,1,2.22,45
20,Oaxaca,91,6,0.14,0,,117,28,0.64,0,,34
31,Yucatán,67,3,0.13,0,,160,22,0.87,0,,25
32,Zacatecas,163,22,1.28,0,,74,1,0.06,0,,23
3,Baja California Sur,68,8,0.91,0,,86,14,1.52,0,,22
13,Hidalgo,118,1,0.03,0,,179,17,0.51,0,,18
24,San Luis Potosí,147,7,0.24,0,,102,11,0.37,0,,18
4,Campeche,99,14,1.30,0,,36,3,0.31,0,,17
1,Aguascalientes,150,2,0.13,0,,238,14,0.89,0,,16
11,Guanajuato,543,5,0.08,0,,290,8,0.12,0,,13
28,Tamaulipas,130,12,0.32,0,,94,0,0.00,0,,12
